k1,b,fields,analyser,recall_100,recall_500,recall_1000,map_cut_1000,ndcg_cut_10,P_5
0.5,0.3,text,english,0.3770,0.6799,0.7815,0.2971,0.5300,0.5450
0.5,0.7,text,english,0.3816,0.6765,0.7761,0.2945,0.5232,0.5600
1.5,0.3,text,english,0.3658,0.6606,0.7678,0.2856,0.5072,0.5400
1.5,0.7,text,english,0.3644,0.6572,0.7569,0.2804,0.5084,0.5800
2.5,0.3,text,english,0.3414,0.6362,0.7390,0.2649,0.4876,0.5450
2.5,0.7,text,english,0.3341,0.6298,0.7248,0.2599,0.4859,0.5800
0.5,0.3,text,gene_synonym_all,0.1465,0.3380,0.4495,0.0694,0.1670,0.2000
0.5,0.7,text,gene_synonym_all,0.1428,0.3401,0.4577,0.0688,0.1721,0.2100
1.5,0.3,text,gene_synonym_all,0.1536,0.3632,0.4719,0.0753,0.1571,0.1850
1.5,0.7,text,gene_synonym_all,0.1485,0.3581,0.4649,0.0733,0.1649,0.1950
2.5,0.3,text,gene_synonym_all,0.1492,0.3605,0.4603,0.0741,0.1613,0.1700
2.5,0.7,text,gene_synonym_all,0.1500,0.3532,0.4571,0.0721,0.1542,0.2100
0.5,0.3,text,gene_synonym_symbol,0.3626,0.6752,0.7683,0.2730,0.5083,0.5350
0.5,0.7,text,gene_synonym_symbol,0.3655,0.6748,0.7648,0.2678,0.5118,0.5300
1.5,0.3,text,gene_synonym_symbol,0.3425,0.6534,0.7570,0.2581,0.4651,0.5150
1.5,0.7,text,gene_synonym_symbol,0.3348,0.6497,0.7498,0.2515,0.4826,0.5150
2.5,0.3,text,gene_synonym_symbol,0.3205,0.6259,0.7365,0.2389,0.4505,0.4800
2.5,0.7,text,gene_synonym_symbol,0.3111,0.6188,0.7217,0.2347,0.4604,0.5250
0.5,0.3,text,gene_synonym_symbol_ortho,0.2804,0.5872,0.6768,0.1784,0.3170,0.3700
0.5,0.7,text,gene_synonym_symbol_ortho,0.2744,0.5858,0.6707,0.1739,0.3246,0.3850
1.5,0.3,text,gene_synonym_symbol_ortho,0.2844,0.5821,0.6804,0.1815,0.3187,0.3550
1.5,0.7,text,gene_synonym_symbol_ortho,0.2688,0.5730,0.6687,0.1754,0.3270,0.3600
2.5,0.3,text,gene_synonym_symbol_ortho,0.2732,0.5546,0.6605,0.1732,0.3146,0.3550
2.5,0.7,text,gene_synonym_symbol_ortho,0.2620,0.5561,0.6553,0.1672,0.3166,0.3800
0.5,0.3,text_mesh_terms,english,0.3770,0.6799,0.7813,0.2971,0.5300,0.5450
0.5,0.7,text_mesh_terms,english,0.3816,0.6765,0.7757,0.2944,0.5232,0.5600
1.5,0.3,text_mesh_terms,english,0.3658,0.6606,0.7673,0.2856,0.5072,0.5400
1.5,0.7,text_mesh_terms,english,0.3644,0.6572,0.7571,0.2804,0.5084,0.5800
2.5,0.3,text_mesh_terms,english,0.3414,0.6362,0.7390,0.2649,0.4876,0.5450
2.5,0.7,text_mesh_terms,english,0.3341,0.6298,0.7248,0.2599,0.4859,0.5800
0.5,0.3,text_mesh_terms,gene_synonym_all,0.1430,0.3449,0.4568,0.0696,0.1450,0.1650
0.5,0.7,text_mesh_terms,gene_synonym_all,0.1409,0.3465,0.4690,0.0709,0.1582,0.2000
1.5,0.3,text_mesh_terms,gene_synonym_all,0.1522,0.3650,0.4791,0.0763,0.1579,0.1850
1.5,0.7,text_mesh_terms,gene_synonym_all,0.1490,0.3590,0.4702,0.0739,0.1664,0.1950
2.5,0.3,text_mesh_terms,gene_synonym_all,0.1486,0.3598,0.4651,0.0739,0.1613,0.1700
2.5,0.7,text_mesh_terms,gene_synonym_all,0.1499,0.3535,0.4588,0.0721,0.1542,0.2100
0.5,0.3,text_mesh_terms,gene_synonym_symbol,0.3626,0.6755,0.7674,0.2729,0.5083,0.5350
0.5,0.7,text_mesh_terms,gene_synonym_symbol,0.3655,0.6748,0.7637,0.2675,0.5118,0.5300
