k1,b,fields,analyser,recall_100,recall_500,recall_1000,map_cut_1000,ndcg_cut_10,P_5
0.5,0.3,text,english,0.3758,0.6982,0.7902,0.2913,0.5216,0.5450
0.5,0.7,text,english,0.3796,0.6960,0.7907,0.2901,0.5281,0.5350
1.5,0.3,text,english,0.3622,0.6800,0.7837,0.2849,0.5072,0.5350
1.5,0.7,text,english,0.3686,0.6881,0.7892,0.2876,0.5070,0.5300
2.5,0.3,text,english,0.3403,0.6566,0.7630,0.2695,0.5011,0.5450
2.5,0.7,text,english,0.3408,0.6733,0.7671,0.2763,0.5032,0.5300
0.5,0.3,text,gene_synonym_all,0.1404,0.3525,0.4567,0.0701,0.1809,0.2050
0.5,0.7,text,gene_synonym_all,0.1387,0.3495,0.4488,0.0675,0.1840,0.2350
1.5,0.3,text,gene_synonym_all,0.1577,0.3698,0.4987,0.0793,0.1836,0.1950
1.5,0.7,text,gene_synonym_all,0.1556,0.3672,0.4930,0.0766,0.1867,0.2050
2.5,0.3,text,gene_synonym_all,0.1552,0.3756,0.5027,0.0803,0.1773,0.1900
2.5,0.7,text,gene_synonym_all,0.1574,0.3751,0.4963,0.0788,0.1844,0.1800
0.5,0.3,text,gene_synonym_symbol,0.3555,0.6892,0.7830,0.2770,0.4970,0.5550
0.5,0.7,text,gene_synonym_symbol,0.3528,0.6837,0.7824,0.2740,0.5055,0.5650
1.5,0.3,text,gene_synonym_symbol,0.3572,0.6909,0.7920,0.2821,0.4914,0.5250
1.5,0.7,text,gene_synonym_symbol,0.3561,0.6907,0.7883,0.2799,0.4994,0.5450
2.5,0.3,text,gene_synonym_symbol,0.3542,0.6892,0.7886,0.2762,0.4808,0.5050
2.5,0.7,text,gene_synonym_symbol,0.3513,0.6879,0.7927,0.2773,0.4754,0.5450
0.5,0.3,text,gene_synonym_symbol_ortho,0.2636,0.5857,0.6841,0.1798,0.3181,0.3800
0.5,0.7,text,gene_synonym_symbol_ortho,0.2584,0.5853,0.6836,0.1784,0.3411,0.4200
1.5,0.3,text,gene_synonym_symbol_ortho,0.2726,0.5901,0.6873,0.1835,0.3253,0.3650
1.5,0.7,text,gene_synonym_symbol_ortho,0.2686,0.5930,0.6811,0.1810,0.3276,0.4000
2.5,0.3,text,gene_synonym_symbol_ortho,0.2707,0.5823,0.6794,0.1809,0.3209,0.3700
2.5,0.7,text,gene_synonym_symbol_ortho,0.2681,0.5874,0.6771,0.1803,0.3290,0.3950
0.5,0.3,text_mesh_terms,english,0.3758,0.6982,0.7902,0.2913,0.5216,0.5450
0.5,0.7,text_mesh_terms,english,0.3796,0.6960,0.7907,0.2901,0.5281,0.5350
1.5,0.3,text_mesh_terms,english,0.3622,0.6800,0.7837,0.2849,0.5072,0.5350
1.5,0.7,text_mesh_terms,english,0.3686,0.6881,0.7892,0.2876,0.5070,0.5300
2.5,0.3,text_mesh_terms,english,0.3403,0.6566,0.7630,0.2695,0.5011,0.5450
2.5,0.7,text_mesh_terms,english,0.3408,0.6733,0.7671,0.2763,0.5032,0.5300
0.5,0.3,text_mesh_terms,gene_synonym_all,0.1290,0.3516,0.4614,0.0685,0.1528,0.1700
0.5,0.7,text_mesh_terms,gene_synonym_all,0.1332,0.3524,0.4628,0.0686,0.1618,0.2100
1.5,0.3,text_mesh_terms,gene_synonym_all,0.1568,0.3706,0.5043,0.0798,0.1820,0.1950
1.5,0.7,text_mesh_terms,gene_synonym_all,0.1556,0.3669,0.4957,0.0769,0.1865,0.2050
2.5,0.3,text_mesh_terms,gene_synonym_all,0.1542,0.3750,0.5058,0.0802,0.1773,0.1900
2.5,0.7,text_mesh_terms,gene_synonym_all,0.1574,0.3748,0.4964,0.0788,0.1844,0.1800
0.5,0.3,text_mesh_terms,gene_synonym_symbol,0.3555,0.6892,0.7830,0.2770,0.4970,0.5550
0.5,0.7,text_mesh_terms,gene_synonym_symbol,0.3528,0.6837,0.7824,0.2740,0.5055,0.5650
1.5,0.3,text_mesh_terms,gene_synonym_symbol,0.3572,0.6909,0.7920,0.2821,0.4914,0.5250
1.5,0.7,text_mesh_terms,gene_synonym_symbol,0.3561,0.6907,0.7883,0.2799,0.4994,0.5450
2.5,0.3,text_mesh_terms,gene_synonym_symbol,0.3542,0.6892,0.7886,0.2762,0.4808,0.5050
2.5,0.7,text_mesh_terms,gene_synonym_symbol,0.3513,0.6879,0.7927,0.2773,0.4754,0.5450
0.5,0.3,text_mesh_terms,gene_synonym_symbol_ortho,0.2670,0.5966,0.6899,0.1830,0.3110,0.3650
0.5,0.7,text_mesh_terms,gene_synonym_symbol_ortho,0.2589,0.5964,0.6905,0.1810,0.3359,0.4100
1.5,0.3,text_mesh_terms,gene_synonym_symbol_ortho,0.2742,0.5947,0.6931,0.1853,0.3238,0.3650
1.5,0.7,text_mesh_terms,gene_synonym_symbol_ortho,0.2692,0.5932,0.6822,0.1811,0.3245,0.4000
2.5,0.3,text_mesh_terms,gene_synonym_symbol_ortho,0.2707,0.5826,0.6810,0.1810,0.3209,0.3700
2.5,0.7,text_mesh_terms,gene_synonym_symbol_ortho,0.2681,0.5875,0.6771,0.1804,0.3290,0.3950
