k1,b,fields,analyser,recall_100,recall_500,recall_1000,map_cut_1000,ndcg_cut_10,P_5
0.5,0.3,text,english,0.3758,0.6982,0.7902,0.2913,0.5216,0.5450
0.5,0.4,text,english,0.3766,0.6987,0.7901,0.2915,0.5139,0.5450
0.5,0.5,text,english,0.3796,0.6977,0.7908,0.2920,0.5184,0.5450
0.5,0.6,text,english,0.3788,0.6986,0.7906,0.2915,0.5250,0.5350
0.5,0.7,text,english,0.3796,0.6960,0.7907,0.2901,0.5281,0.5350
0.5,0.8,text,english,0.3726,0.6952,0.7894,0.2889,0.5376,0.5500
0.5,0.9,text,english,0.3688,0.6926,0.7863,0.2848,0.5399,0.5550
0.7,0.3,text,english,0.3726,0.6966,0.7899,0.2919,0.5190,0.5350
0.7,0.4,text,english,0.3752,0.6975,0.7913,0.2925,0.5142,0.5400
0.7,0.5,text,english,0.3772,0.6982,0.7902,0.2931,0.5195,0.5400
0.7,0.6,text,english,0.3784,0.6960,0.7898,0.2928,0.5253,0.5300
0.7,0.7,text,english,0.3825,0.6953,0.7894,0.2913,0.5241,0.5250
0.7,0.8,text,english,0.3749,0.6937,0.7875,0.2899,0.5332,0.5400
0.7,0.9,text,english,0.3702,0.6912,0.7859,0.2861,0.5373,0.5500
0.9,0.3,text,english,0.3720,0.6964,0.7893,0.2913,0.5168,0.5350
0.9,0.4,text,english,0.3725,0.6970,0.7893,0.2918,0.5101,0.5300
0.9,0.5,text,english,0.3772,0.6968,0.7914,0.2929,0.5163,0.5350
0.9,0.6,text,english,0.3751,0.6994,0.7911,0.2929,0.5190,0.5250
0.9,0.7,text,english,0.3751,0.6985,0.7916,0.2917,0.5187,0.5300
0.9,0.8,text,english,0.3746,0.6968,0.7905,0.2906,0.5303,0.5450
0.9,0.9,text,english,0.3701,0.6906,0.7880,0.2860,0.5314,0.5450
1.1,0.3,text,english,0.3708,0.6929,0.7898,0.2894,0.5096,0.5300
1.1,0.4,text,english,0.3718,0.6962,0.7902,0.2903,0.5044,0.5250
1.1,0.5,text,english,0.3738,0.6957,0.7911,0.2911,0.5100,0.5200
1.1,0.6,text,english,0.3754,0.6942,0.7908,0.2916,0.5152,0.5250
1.1,0.7,text,english,0.3768,0.6929,0.7898,0.2902,0.5163,0.5200
1.1,0.8,text,english,0.3725,0.6922,0.7880,0.2890,0.5251,0.5350
1.1,0.9,text,english,0.3684,0.6899,0.7872,0.2847,0.5230,0.5350
1.3,0.3,text,english,0.3657,0.6875,0.7861,0.2866,0.5095,0.5350
1.3,0.4,text,english,0.3688,0.6893,0.7877,0.2882,0.5038,0.5300
1.3,0.5,text,english,0.3692,0.6888,0.7883,0.2890,0.5076,0.5250
1.3,0.6,text,english,0.3703,0.6910,0.7902,0.2898,0.5051,0.5300
1.3,0.7,text,english,0.3723,0.6902,0.7895,0.2886,0.5064,0.5150
1.3,0.8,text,english,0.3741,0.6889,0.7876,0.2875,0.5157,0.5250
1.3,0.9,text,english,0.3696,0.6862,0.7847,0.2831,0.5214,0.5300
1.5,0.3,text,english,0.3622,0.6800,0.7837,0.2849,0.5072,0.5350
1.5,0.4,text,english,0.3674,0.6815,0.7851,0.2865,0.5059,0.5400
1.5,0.5,text,english,0.3677,0.6858,0.7879,0.2875,0.5068,0.5300
1.5,0.6,text,english,0.3700,0.6893,0.7878,0.2884,0.5075,0.5400
1.5,0.7,text,english,0.3686,0.6881,0.7892,0.2876,0.5070,0.5300
1.5,0.8,text,english,0.3646,0.6887,0.7861,0.2861,0.5163,0.5350
1.5,0.9,text,english,0.3663,0.6865,0.7819,0.2821,0.5213,0.5400
1.7,0.3,text,english,0.3616,0.6771,0.7789,0.2824,0.5006,0.5350
1.7,0.4,text,english,0.3620,0.6801,0.7799,0.2844,0.4997,0.5450
1.7,0.5,text,english,0.3661,0.6810,0.7838,0.2857,0.5035,0.5450
1.7,0.6,text,english,0.3650,0.6832,0.7848,0.2867,0.5068,0.5400
1.7,0.7,text,english,0.3634,0.6873,0.7843,0.2860,0.5058,0.5300
1.7,0.8,text,english,0.3632,0.6862,0.7822,0.2847,0.5186,0.5450
1.7,0.9,text,english,0.3594,0.6854,0.7791,0.2806,0.5226,0.5550
1.9,0.3,text,english,0.3577,0.6673,0.7737,0.2789,0.5018,0.5400
1.9,0.4,text,english,0.3593,0.6714,0.7739,0.2813,0.4969,0.5450
1.9,0.5,text,english,0.3603,0.6773,0.7773,0.2832,0.5006,0.5450
1.9,0.6,text,english,0.3615,0.6803,0.7789,0.2843,0.5036,0.5400
1.9,0.7,text,english,0.3630,0.6810,0.7794,0.2842,0.5047,0.5300
