k1,b,fields,analyser,recall_100,recall_500,recall_1000,map_cut_1000,ndcg_cut_10,P_5
0.5,0.3,text,english,0.3770,0.6799,0.7815,0.2971,0.5300,0.5450
0.5,0.7,text,english,0.3816,0.6765,0.7761,0.2944,0.5232,0.5600
1.5,0.3,text,english,0.3658,0.6603,0.7678,0.2856,0.5072,0.5400
1.5,0.7,text,english,0.3644,0.6572,0.7569,0.2803,0.5084,0.5800
2.5,0.3,text,english,0.3414,0.6362,0.7390,0.2649,0.4876,0.5450
2.5,0.7,text,english,0.3341,0.6294,0.7248,0.2599,0.4859,0.5800
0.5,0.3,text,gene_synonym,0.1465,0.3380,0.4495,0.0694,0.1670,0.2000
0.5,0.7,text,gene_synonym,0.1428,0.3401,0.4577,0.0688,0.1721,0.2100
1.5,0.3,text,gene_synonym,0.1536,0.3632,0.4719,0.0753,0.1571,0.1850
1.5,0.7,text,gene_synonym,0.1485,0.3581,0.4649,0.0733,0.1649,0.1950
2.5,0.3,text,gene_synonym,0.1492,0.3605,0.4603,0.0741,0.1613,0.1700
2.5,0.7,text,gene_synonym,0.1500,0.3532,0.4571,0.0721,0.1542,0.2100
0.5,0.3,text_mesh_terms,english,0.3770,0.6799,0.7813,0.2971,0.5300,0.5450
0.5,0.7,text_mesh_terms,english,0.3816,0.6765,0.7757,0.2944,0.5232,0.5600
1.5,0.3,text_mesh_terms,english,0.3658,0.6603,0.7673,0.2856,0.5072,0.5400
1.5,0.7,text_mesh_terms,english,0.3644,0.6572,0.7571,0.2803,0.5084,0.5800
2.5,0.3,text_mesh_terms,english,0.3414,0.6362,0.7390,0.2649,0.4876,0.5450
2.5,0.7,text_mesh_terms,english,0.3341,0.6294,0.7248,0.2599,0.4859,0.5800
0.5,0.3,text_mesh_terms,gene_synonym,0.1430,0.3449,0.4568,0.0696,0.1449,0.1600
0.5,0.7,text_mesh_terms,gene_synonym,0.1409,0.3464,0.4689,0.0708,0.1574,0.2000
1.5,0.3,text_mesh_terms,gene_synonym,0.1522,0.3650,0.4791,0.0763,0.1571,0.1850
1.5,0.7,text_mesh_terms,gene_synonym,0.1490,0.3590,0.4699,0.0738,0.1664,0.1950
2.5,0.3,text_mesh_terms,gene_synonym,0.1486,0.3598,0.4651,0.0739,0.1613,0.1700
2.5,0.7,text_mesh_terms,gene_synonym,0.1499,0.3535,0.4588,0.0721,0.1542,0.2100
0.5,0.3,text_keywords,english,0.3770,0.6796,0.7815,0.2971,0.5300,0.5450
0.5,0.7,text_keywords,english,0.3816,0.6759,0.7761,0.2943,0.5232,0.5600
1.5,0.3,text_keywords,english,0.3658,0.6603,0.7678,0.2856,0.5072,0.5400
1.5,0.7,text_keywords,english,0.3644,0.6572,0.7569,0.2803,0.5084,0.5800
2.5,0.3,text_keywords,english,0.3414,0.6362,0.7390,0.2649,0.4876,0.5450
2.5,0.7,text_keywords,english,0.3341,0.6294,0.7248,0.2599,0.4859,0.5800
0.5,0.3,text_keywords,gene_synonym,0.1168,0.3309,0.4431,0.0594,0.1164,0.1350
0.5,0.7,text_keywords,gene_synonym,0.1189,0.3236,0.4506,0.0577,0.1170,0.1450
1.5,0.3,text_keywords,gene_synonym,0.1457,0.3582,0.4681,0.0694,0.1338,0.1500
1.5,0.7,text_keywords,gene_synonym,0.1403,0.3547,0.4624,0.0667,0.1304,0.1550
2.5,0.3,text_keywords,gene_synonym,0.1442,0.3590,0.4592,0.0699,0.1492,0.1500
2.5,0.7,text_keywords,gene_synonym,0.1458,0.3522,0.4563,0.0672,0.1333,0.1700
0.5,0.3,text_keywords_mesh_terms,english,0.3770,0.6796,0.7813,0.2970,0.5300,0.5450
0.5,0.7,text_keywords_mesh_terms,english,0.3816,0.6759,0.7757,0.2943,0.5232,0.5600
1.5,0.3,text_keywords_mesh_terms,english,0.3658,0.6603,0.7673,0.2856,0.5072,0.5400
1.5,0.7,text_keywords_mesh_terms,english,0.3644,0.6572,0.7571,0.2803,0.5084,0.5800
2.5,0.3,text_keywords_mesh_terms,english,0.3414,0.6362,0.7390,0.2649,0.4876,0.5450
2.5,0.7,text_keywords_mesh_terms,english,0.3341,0.6294,0.7248,0.2599,0.4859,0.5800
0.5,0.3,text_keywords_mesh_terms,gene_synonym,0.1176,0.3366,0.4494,0.0615,0.1123,0.1200
0.5,0.7,text_keywords_mesh_terms,gene_synonym,0.1206,0.3307,0.4633,0.0613,0.1176,0.1500
1.5,0.3,text_keywords_mesh_terms,gene_synonym,0.1446,0.3609,0.4749,0.0705,0.1338,0.1500
1.5,0.7,text_keywords_mesh_terms,gene_synonym,0.1411,0.3559,0.4666,0.0673,0.1320,0.1550
2.5,0.3,text_keywords_mesh_terms,gene_synonym,0.1436,0.3586,0.4642,0.0697,0.1492,0.1500
2.5,0.7,text_keywords_mesh_terms,gene_synonym,0.1458,0.3522,0.4576,0.0672,0.1333,0.1700
